"acq_date","acq_hour","areaid","collar_id","animaltype"
20170313,3,24,21917,"Moose"
20170313,4,24,21917,"Moose"
20170313,5,24,21917,"Moose"
20170313,6,27,21917,"Moose"
20170313,7,27,21917,"Moose"
20170313,8,27,21917,"Moose"
20170313,9,27,21917,"Moose"
20170313,10,27,21917,"Moose"
20170313,11,27,21917,"Moose"
20170313,12,27,21917,"Moose"
20170313,13,27,21917,"Moose"
20170313,14,27,21917,"Moose"
20170313,15,27,21917,"Moose"
20170313,16,27,21917,"Moose"
20170313,17,27,21917,"Moose"
20170313,18,24,21917,"Moose"
20170313,19,31,21917,"Moose"
20170313,20,31,21917,"Moose"
20170313,21,31,21917,"Moose"
20170313,22,31,21917,"Moose"
20170313,23,31,21917,"Moose"
20170314,0,31,21917,"Moose"
20170314,1,31,21917,"Moose"
20170314,2,31,21917,"Moose"
20170314,3,31,21917,"Moose"
20170314,4,31,21917,"Moose"
20170314,5,31,21917,"Moose"
20170314,6,31,21917,"Moose"
20170314,7,31,21917,"Moose"
20170314,8,31,21917,"Moose"
20170314,9,31,21917,"Moose"
20170314,10,31,21917,"Moose"
20170314,11,31,21917,"Moose"
20170314,12,31,21917,"Moose"
20170314,13,27,21917,"Moose"
20170314,14,27,21917,"Moose"
20170314,15,27,21917,"Moose"
20170314,16,27,21917,"Moose"
20170314,17,27,21917,"Moose"
20170314,18,27,21917,"Moose"
20170314,19,27,21917,"Moose"
20170314,20,27,21917,"Moose"
20170314,21,27,21917,"Moose"
20170314,22,27,21917,"Moose"
20170314,23,27,21917,"Moose"
20170315,0,27,21917,"Moose"
20170315,1,27,21917,"Moose"
20170315,2,27,21917,"Moose"
20170315,3,27,21917,"Moose"
20170315,4,27,21917,"Moose"
20170315,5,27,21917,"Moose"
20170315,6,27,21917,"Moose"
20170315,7,27,21917,"Moose"
20170315,8,27,21917,"Moose"
20170315,9,27,21917,"Moose"
20170315,10,27,21917,"Moose"
20170315,11,27,21917,"Moose"
20170315,12,27,21917,"Moose"
20170315,13,27,21917,"Moose"
20170315,14,27,21917,"Moose"
20170315,15,27,21917,"Moose"
20170315,16,27,21917,"Moose"
20170315,17,27,21917,"Moose"
20170315,18,27,21917,"Moose"
20170315,19,27,21917,"Moose"
20170315,20,27,21917,"Moose"
20170315,21,27,21917,"Moose"
20170315,22,27,21917,"Moose"
20170315,23,27,21917,"Moose"
20170316,0,27,21917,"Moose"
20170316,1,27,21917,"Moose"
20170316,2,27,21917,"Moose"
20170316,3,27,21917,"Moose"
20170316,4,27,21917,"Moose"
20170316,5,27,21917,"Moose"
20170316,6,27,21917,"Moose"
20170316,7,27,21917,"Moose"
20170316,8,27,21917,"Moose"
20170316,9,27,21917,"Moose"
20170316,10,27,21917,"Moose"
